Subject,Session,Force,IsOutlier,Object,Target,Ideal,IdealInterp
1,2,395.680538662404,0,4,2,509.895275793912,509.895275793912
1,2,443.627195244111,0,4,2,453.501354748479,453.501354748479
1,2,487.292771561264,0,4,2,426.700702308304,426.700702308304
1,2,380.660850707456,0,5,2,539.899958924289,539.899958924289
1,2,602.79847231006,0,5,2,460.025659164774,460.025659164774
1,2,236.399480638656,0,5,2,638.187807465347,638.187807465347
1,2,371.697211567403,0,5,2,505.216951876394,505.216951876394
1,2,489.614989022344,0,5,2,421.58142928534,421.58142928534
1,2,346.344450293343,0,5,2,537.416090496599,537.416090496599
1,2,360.4343186402,0,5,2,547.429726328116,547.429726328116
1,2,482.575441836951,0,5,2,534.58273447081,534.58273447081
1,2,523.533110178015,0,5,2,536.543943449695,536.543943449695
1,2,388.957559968687,0,5,2,559.527345062389,559.527345062389
1,2,321.774207928396,0,5,3,402.606362716997,402.606362716997
1,2,384.26748205594,0,5,3,496.984507156478,496.984507156478
1,2,223.854120885694,0,5,3,500.988041585332,500.988041585332
1,2,352.424255516489,0,5,3,443.088420432734,443.088420432734
1,2,347.682039648973,0,5,3,410.580806912022,410.580806912022
1,2,386.698312337497,0,5,3,433.755538521121,433.755538521121
1,2,438.563782816476,0,5,3,427.428027870735,427.428027870735
1,2,425.598395044319,0,5,3,515.030238937888,515.030238937888
1,2,424.113216976016,0,5,3,518.067339654622,518.067339654622
1,2,386.108879552922,0,5,3,436.313442470456,436.313442470456
1,3,309.39224606457,0,1,1,413.863678828775,413.863678828775
1,3,381.573701785249,0,1,1,341.440354283982,341.440354283982
1,3,446.42892038768,0,1,1,360.704550970709,360.704550970709
1,3,333.817632583594,0,1,1,360.989257263784,360.989257263784
1,3,439.186724063834,0,1,1,369.36028331146,369.36028331146
1,3,402.170238361425,0,1,1,374.245902848749,374.245902848749
1,3,402.954743015184,0,1,1,334.892834629708,334.892834629708
1,3,464.881913016156,0,1,1,378.340906550459,378.340906550459
1,3,172.787294754441,0,1,1,376.33089098358,376.33089098358
1,3,436.192887683016,0,1,1,341.451097254081,341.451097254081
1,3,428.987542738828,0,2,1,455.325937519849,455.325937519849
1,3,321.748525732376,0,2,1,376.141422407201,376.141422407201
1,3,512.017142046502,0,2,1,380.00933249878,380.00933249878
1,3,165.129509222952,0,2,1,402.736100705358,402.736100705358
1,3,288.726926552489,0,2,1,464.112421953571,464.112421953571
1,3,536.591879760006,0,2,1,422.964122665186,422.964122665186
1,3,445.778672024784,0,2,1,400.35571291164,400.35571291164
1,3,326.48679250548,0,2,1,491.068562918315,491.068562918315
1,3,370.447843748961,0,2,1,475.822690047194,475.822690047194
1,3,423.909978995155,0,2,1,464.035711310714,464.035711310714
1,3,534.623664852,0,3,1,464.194285129001,370.367780688033
1,3,541.104639874957,0,3,1,473.082558148815,377.459487884693
1,3,356.170545530884,0,3,1,563.131508218295,449.307054429491
1,3,339.277845136325,0,3,1,531.292475987617,423.903571266716
1,3,571.225548979496,0,3,1,505.494624536528,403.320179151485
1,3,287.348653438053,0,3,1,750.899628587001,599.122044085373
1,3,518.074236772119,0,3,1,660.059803825869,526.643460499363
1,3,418.67651872346,0,3,1,628.118639804227,501.1584892055
1,3,419.775716790061,0,3,1,569.964938705316,454.759259605306
1,3,506.154737306867,0,3,1,579.660888880453,462.495390064191
1,3,477.145869497266,0,4,1,590.242280165985,590.242280165985
1,3,391.299083144531,0,4,1,499.627945661503,499.627945661503
1,3,469.263255148488,0,4,1,500.670569222711,500.670569222711
1,3,244.607417868901,0,4,1,545.32607975257,545.32607975257
1,3,368.319102488007,0,4,1,591.00717458445,591.00717458445
1,3,663.78964695148,0,4,1,631.784335405438,631.784335405438
1,3,542.955383077788,0,4,1,512.936026826466,512.936026826466
1,3,514.676631254841,0,4,1,613.592598589514,613.592598589514
1,3,668.717905757098,0,4,1,527.391205995857,527.391205995857
1,3,432.064556756573,0,4,1,630.830171802239,630.830171802239
1,3,557.92243686796,0,5,1,709.087882009312,709.087882009312
1,3,415.120310261489,0,5,1,490.247270967591,490.247270967591
1,3,457.300950808158,0,5,1,560.673233285437,560.673233285437
1,3,511.953451115422,0,5,1,491.30470901048,491.30470901048
1,3,439.137543664439,0,5,1,449.393895105824,449.393895105824
1,3,449.827817484785,0,5,1,606.338237568958,606.338237568958
1,3,493.408990278678,0,5,1,634.152392974352,634.152392974352
1,3,599.518209204245,0,5,1,612.604647673616,612.604647673616
1,3,399.069720651041,0,5,1,618.584185614006,618.584185614006
1,3,442.155214453777,0,5,1,702.217000328574,702.217000328574
1,3,398.547690192722,0,1,2,335.459025774898,335.459025774898
1,3,380.075155497093,0,1,2,279.434220699373,279.434220699373
1,3,441.25641520751,0,1,2,337.824338423948,337.824338423948
1,3,462.22106344879,0,1,2,302.446988433945,302.446988433945
1,3,423.455103520834,0,1,2,341.368625598338,341.368625598338
1,3,480.805460038486,0,1,2,366.529487356269,366.529487356269
1,3,327.43141451481,0,1,2,439.262770781207,439.262770781207
1,3,438.425067642418,0,1,2,332.842400066662,332.842400066662
1,3,452.271038360378,0,1,2,281.372054853961,281.372054853961
1,3,383.129292457819,0,1,2,316.891474450944,316.891474450944
1,3,414.168441791419,0,2,2,351.518876017383,351.518876017383
1,3,443.146653889343,0,2,2,351.608177905625,351.608177905625
1,3,487.602191825767,0,2,2,314.812396409478,314.812396409478
1,3,240.925613227526,1,2,2,332.102602898734,332.102602898734
1,3,430.658950621452,0,2,2,368.625331293041,368.625331293041
1,3,461.385556039387,0,2,2,494.754938920235,494.754938920235
